"query_id","query","query_run","passage_id","passage","generated_answer"
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[1]","Sinh viên tốt nghiệp chương trình đào tạo Cử nhân chính quy Văn bằng Đại học thứ 2 ngành Công nghệ thông tin phải đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:
− (LO1) Nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành Công nghệ thông tin và thực tiễn (abet 3.1).
− (LO2) Nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành Công nghệ thông tin để ứng dụng vào thực tiễn (abet 3.2, gac 2.b).","Dựa trên ngữ cảnh được cung cấp, thông tin về thứ tự học môn nền tảng cụ thể trong hai năm đầu của chương trình Cử nhân Công nghệ Thông tin không được nêu rõ. Tuy nhiên, theo bảng thông tin về chuẩn đầu ra, sinh viên nên theo thứ tự học những môn sau để có nền tảng vững về các lĩnh vực chính:

| Môn học                               |
| ------------------------------------ |
| Kiến trúc máy tính                   |
| Hệ điều hành                          |
| Cấu trúc dữ liệu (không được liệt kê cụ thể) |
| Lập trình (không được liệt kê cụ thể) |

**Lưu ý:** Ngữ cảnh chỉ cung cấp thông tin về các môn học nằm trong chuẩn đầu ra (CĐR).  Để có thông tin chi tiết về thứ tự học các môn, bạn nên tham khảo thêm các tài liệu hướng dẫn đào tạo khác hoặc liên hệ với phòng đào tạo của trường."
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[2]","Sinh viên tốt nghiệp chương trình đào tạo Cử nhân chính quy Văn bằng Đại học thứ 2 ngành Công nghệ thông tin phải đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:
− (LO1) Nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành Công nghệ thông tin và thực tiễn (abet 3.1).
− (LO2) Nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành Công nghệ thông tin để ứng dụng vào thực tiễn (abet 3.2, gac 2.b).",""
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[3]","Sinh viên tốt nghiệp chương trình đào tạo Cử nhân chính quy ngành Công nghệ thông tin Việt – Nhật phải đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:
− (LO1) Nắm vững kiến thức nền tảng về khoa học tự nhiên, khoa học xã hội và hiểu khả năng vận dụng những kiến thức đó vào ngành Công nghệ thông tin và thực tiễn (abet 3.1).
− (LO2) Nắm vững kiến thức nền tảng và một số kiến thức chuyên sâu của ngành Công nghệ thông tin để ứng dụng vào thực tiễn (abet 3.2, gac 2.b).",""
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[4]","| **2**   | **(LO2)** **Kiến thức nền tảng và chuyên sâu ngành HTTT**                                                                                          |
| 2.1     | Kiến thức kiến trúc máy tính                                                                                                                       |
| 2.2     | Kiến thức hệ điều hành                                                                                                                             |",""
"Q003","Sinh viên mới vào học nên theo thứ tự học những môn nền tảng nào trong hai năm đầu để có nền tảng vững về lập trình, cấu trúc dữ liệu, hệ điều hành và kiến trúc máy tính?","1","[5]","| PO1          | Có kiến thức nền tảng vững vàng về khoa học máy tính và chuyên sâu về Trí tuệ nhân tạo.                                                                                                                                                                                          |",""
"Q004","Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?","1","[1]","| **Nhóm môn học định hướng Hệ thống nhúng và IoT**        |           |                                                                                                                                         |             |             |     |     |                  |","Dựa trên ngữ cảnh được cung cấp, thông tin cụ thể về yêu cầu học tập cho hướng Cử nhân Công nghệ Thông tin – Hệ thống nhúng/IoT hiện chưa được mô tả chi tiết. Tuy nhiên, có thể suy luận như sau:

| Môn học (Dự kiến)                | Mô tả                                                                 |
| ---------------------------------- | --------------------------------------------------------------------- |
| Khối kiến thức chuyên ngành             | (Cần thông tin chi tiết hơn từ chương trình đào tạo cụ thể)        |
| **(Dự kiến)** Môn học liên quan hệ thống nhúng/IoT | (Cần thông tin chi tiết hơn từ chương trình đào tạo cụ thể) |

**Lưu ý:** Ngữ cảnh hiện tại chỉ cung cấp thông tin chung về mục tiêu đào tạo của chương trình Cử nhân Công nghệ Thông tin và không trình bày đầy đủ về cấu trúc môn học cụ thể cho hướng Hệ thống nhúng/IoT. Để biết chính xác, bạn cần tham khảo thêm từ các tài liệu đào tạo khác, ví dụ như danh mục môn học chi tiết, học bạ, hoặc trực tiếp với giảng viên bộ môn."
"Q004","Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?","1","[2]","Chuẩn đầu ra (Learning Outcomes – LO) của CTĐT bao gồm những chuẩn đầu ra chung dưới đây, được tham chiếu với chuẩn đầu ra của ABET 2021-2022 và Bộ năng lực SV tốt nghiệp ĐHQG ban hành theo quyết định 1658/QĐ-ĐHQG năm 2020 (GAC).
Sinh viên tốt nghiệp chương trình đào tạo Cử nhân tiên tiến ngành Hệ thống thông tin đáp ứng các yêu cầu về chuẩn đầu ra (CĐR) sau:",""
"Q004","Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?","1","[3]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học hoàn thiện các kiến thức, kỹ năng đạt trình độ cử nhân từ cấp độ cao đẳng. Bên",""
"Q004","Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?","1","[4]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q004","Nếu em muốn theo hướng Hệ thống nhúng/IoT thì yêu cầu học những môn gì và kế hoạch ra sao?","1","[5]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q005","Ngành Kỹ thuật Máy tính có những định hướng chuyên ngành tự chọn nào?","1","[1]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học hoàn thiện các kiến thức, kỹ năng đạt trình độ cử nhân từ cấp độ cao đẳng. Bên","Dựa trên các tài liệu được cung cấp, ngành Cử nhân Công nghệ Thông tin có các định hướng chuyên ngành tự chọn như sau:

| Định hướng chuyên ngành tự chọn | Số tín chỉ tối đa |
|---|---|
| Môn học chuyên ngành tự chọn | **3 tín chỉ** |
| Môn học thuộc danh mục 4.4.2.3 | **4 tín chỉ** |

**Lưu ý:** Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng."
"Q005","Ngành Kỹ thuật Máy tính có những định hướng chuyên ngành tự chọn nào?","1","[2]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q005","Ngành Kỹ thuật Máy tính có những định hướng chuyên ngành tự chọn nào?","1","[3]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q005","Ngành Kỹ thuật Máy tính có những định hướng chuyên ngành tự chọn nào?","1","[4]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin có phẩm chất chính trị tốt, có đạo đức nghề nghiệp, có ý thức trách nhiệm tổ chức, và có sức khỏe tốt; nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. Bên cạnh đó,",""
"Q005","Ngành Kỹ thuật Máy tính có những định hướng chuyên ngành tự chọn nào?","1","[5]","**Bắt buộc** đối với sinh viên ngành Công nghệ thông tin (**Tối thiểu 12 tín chỉ**).
Sinh viên được chọn môn học chuyên ngành tự do sao cho **tổng số tín chỉ** **³\*\***1\***\*2.**Trong đó, sinh viên có thể chọn học các môn học thuộc danh mục 4.4.2.3 để **tích lũy không quá 4** **tín chỉ\*\***.\*\*Bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).",""
"Q006"," Trong Ngành Công Nghệ Thông Tin, môn Thực tập doanh nghiệp có bắt buộc không? Có thể đổi sang hình thức khác không? ","1","[1]","**Bắt buộc** đối với sinh viên ngành Công nghệ thông tin (**Tối thiểu 12 tín chỉ**).
Sinh viên được chọn môn học chuyên ngành tự do sao cho **tổng số tín chỉ** **³\*\***1\***\*2.**Trong đó, sinh viên có thể chọn học các môn học thuộc danh mục 4.4.2.3 để **tích lũy không quá 4** **tín chỉ\*\***.\*\*Bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).","Thông tin này không có trong ngữ cảnh được cung cấp."
"Q006"," Trong Ngành Công Nghệ Thông Tin, môn Thực tập doanh nghiệp có bắt buộc không? Có thể đổi sang hình thức khác không? ","1","[2]","**Bắt buộc** đối với sinh viên ngành Công nghệ thông tin (**Tối thiểu 16 tín chỉ**).
Sinh viên được chọn môn học chuyên ngành tự do sao cho **tổng số tín chỉ** **³\*\***16.**Trong đó, sinh viên được học các môn học thuộc danh mục 3.4.2.3 để **tích lũy không quá\*\* **1\*\***0\***\*tín chỉ**.
Bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).",""
"Q006"," Trong Ngành Công Nghệ Thông Tin, môn Thực tập doanh nghiệp có bắt buộc không? Có thể đổi sang hình thức khác không? ","1","[3]","**Bắt buộc** đối với sinh viên ngành Công nghệ thông tin (**Tối thiểu 16 tín chỉ**).
Sinh viên được chọn môn học chuyên ngành tự do sao cho **tổng số tín chỉ** **³\*\***16.**Trong đó, sinh viên được học các môn học thuộc danh mục 3.4.2.3 để **tích lũy không quá\*\* **1\*\***0\***\*tín chỉ**.
Bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).",""
"Q006"," Trong Ngành Công Nghệ Thông Tin, môn Thực tập doanh nghiệp có bắt buộc không? Có thể đổi sang hình thức khác không? ","1","[4]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q006"," Trong Ngành Công Nghệ Thông Tin, môn Thực tập doanh nghiệp có bắt buộc không? Có thể đổi sang hình thức khác không? ","1","[5]","Chương trình Cử nhân Công nghệ Thông tin đào tạo những cử nhân ngành Công nghệ thông tin nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin (CNTT); đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. CTĐT định hướng đến việc giúp người học thay đổi mục tiêu nghề nghiệp, có khả năng vận dụng các kiến thức CNTT ứng dụng",""
"Q007","Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","1","[1]","\- Các môn học **Chuyên đề tốt nghiệp định hướng hệ thống nhúng và IoT** (Mã MH: CE510) và **Chuyên đề tốt nghiệp định hướng Robotic và AI** (Mã MH: CE511) là các môn học bổ sung kiến thức và kỹ năng tốt nghiệp cần thiết cho sinh viên thực hiện Đồ án tốt nghiệp theo các định hướng. Sinh viên có thể tham gia các môn học khác thuộc nhóm tự chọn chuyên ngành (xem Bảng 8), các môn học thuộc khối kiến thức chuyên ngành của các CTĐT ngành KTMT ban hành trước năm 2024 hoặc các môn học mới (được ban","Dựa trên ngữ cảnh được cung cấp, đây là thông tin về các môn tự chọn và sự khác biệt về kỹ năng/nền tảng giữa hai hướng Hệ thống nhúng/IoT và Robotics & AI:

**1. Hướng Hệ thống nhúng/IoT:**

*   **Môn học tự chọn:** Các môn học chuyên ngành thuộc nhóm ""Khối kiến thức giáo dục chuyên nghiệp"" bao gồm các môn như: **Chuyên đề thiết kế hệ thống nhúng 1** (CE437), **Chuyên đề thiết kế hệ thống nhúng 2** (CE438), **Chuyên đề thiết kế Robotics và AI 1** (CE441), **Chuyên đề thiết kế Robotics và AI 2** (CE442).
*   **Kỹ năng/nền tảng:** Hướng này tập trung vào thiết kế, xây dựng và lập trình hệ thống nhúng. Sinh viên cần có kiến thức về điện tử, cơ điện tử, lập trình nhúng (ví dụ: C/C++), và làm việc với các cảm biến, bộ điều khiển.

**2. Hướng Robotics & AI:**

*   **Môn học tự chọn:** Các môn học chuyên ngành thuộc nhóm ""Khối kiến thức giáo dục chuyên nghiệp"".
*   **Kỹ năng/nền tảng:** Hướng này tập trung vào các kiến thức về Robotics và Trí tuệ nhân tạo. Sinh viên cần có kiến thức về cơ sở dữ liệu, lập trình, mạng máy tính và các kiến thức về thuật toán, trí tuệ nhân tạo.

**Lưu ý:** Sinh viên có thể chọn các môn học thuộc cả hai hướng, không nhất thiết cố định một hướng."
"Q007","Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","1","[2]","| **Nhóm môn học định hướng Hệ thống nhúng và IoT**        |           |                                                                                                                                         |             |             |     |     |                  |",""
"Q007","Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","1","[3]","\- Các môn học **Chuyên đề thiết kế hệ thống nhúng 1** (Mã MH: CE437), **Chuyên đề thiết kế hệ thống nhúng 2** (Mã MH: CE438), **Chuyên đề thiết kế Robotics và AI 1** (Mã MH: CE441), **Chuyên đề thiết kế Robotics và AI 2** (Mã MH: CE442) là các môn học được mở theo từng học kỳ, có nội dung được cập nhật phù hợp với xu thế phát triển công, nhu cầu lao động của xã hội hoặc trang bị thêm kiến thức cần thiết cho sinh viên theo từng định hướng. Sinh viên có thể tham gia các môn học thuộc nhóm tự",""
"Q007","Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","1","[4]","Các môn học chuyên ngành bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).
**Lưu ý** **:**
\- **S\*\***inh viên\***\*phải chọn tối thiểu 8\*\***tín chỉ\*\* **học bằng tiếng Nhật** trong các môn chuyên ngành.
\- **Ký hiệu \*\* trong nhóm các môn học chuyên ngành và tự chọn:** Có khả năng giảng dạy bằng tiếng Nhật.",""
"Q007","Nếu em muốn theo hướng Hệ thống nhúng/IoT hoặc hướng Robotics & AI thì nên chọn những môn tự chọn nào, và mỗi hướng yêu cầu kỹ năng, nền tảng khác nhau ra sao?","1","[5]","**Bắt buộc** đối với sinh viên ngành Công nghệ thông tin (**Tối thiểu 12 tín chỉ**).
Sinh viên được chọn môn học chuyên ngành tự do sao cho **tổng số tín chỉ** **³\*\***1\***\*2.**Trong đó, sinh viên có thể chọn học các môn học thuộc danh mục 4.4.2.3 để **tích lũy không quá 4** **tín chỉ\*\***.\*\*Bao gồm 02 hướng có vai trò như nhau, trong đó có một số môn thuộc 01 hướng sẽ được gom cụm. (Sinh viên có thể chọn các môn học thuộc cả 02 hướng, không nhất thiết cố định 01 hướng).",""
"Q008","Chương trình Trí Tuệ Nhân Tạo có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?","1","[1]","\- Chương trình đào tạo ngành Trí tuệ nhân tạo được xây dựng dựa trên tầm nhìn, sứ mạng và triết lý giáo dục của Trường Đại học Công nghệ thông tin – Đại học Quốc gia TP.HCM, phù hợp với nhu cầu của xã hội và có sự tham khảo các chương trình đào tạo tiên tiến trong và ngoài nước.
\- Chương trình đào tạo ngành Trí tuệ nhân tạo được xây dựng theo học chế tín chỉ, cung cấp kiến thức, phát triển kĩ năng, phương pháp tư duy và phong cách làm việc hiện đại, hiệu quả.","Thông tin này không có trong ngữ cảnh được cung cấp."
"Q008","Chương trình Trí Tuệ Nhân Tạo có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?","1","[2]","\- **Mục tiêu chung:**
o Chương trình đào tạo ngành Trí tuệ nhân tạo hướng đến mục tiêu đào tạo nguồn nhân lực chất lượng cao đạt trình độ khu vực và quốc tế về Trí tuệ nhân tạo.
o Chương trình trang bị cho người học nền tảng kiến thức vững vàng kết hợp cùng kiến thức chuyên sâu cập nhật, hiện đại về Trí tuệ nhân tạo. Người học hiểu và có khả năng làm chủ, vận dụng sáng tạo các thành tựu tiên tiến của ngành; có kỹ năng cần thiết và thái độ chuẩn mực trong phát triển nghề nghiệp.",""
"Q008","Chương trình Trí Tuệ Nhân Tạo có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?","1","[3]","Sinh viên tốt nghiệp ngành Trí tuệ nhân tạo có thể làm việc:
\- Chuyên gia lập trình Trí tuệ nhân tạo, tham gia phát triển các phần mềm, ứng dụng, các hệ thống tính toán có sử dụng Trí tuệ nhân tạo.
\- Chuyên gia phân tích, thiết kế, xây dựng giải pháp kỹ thuật, giải pháp công nghệ thông minh có sử dụng Trí tuệ nhân tạo tại các công ty, tập đoàn công nghệ.",""
"Q008","Chương trình Trí Tuệ Nhân Tạo có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?","1","[4]","Chuẩn đầu ra của CTĐT (Program Learning Outcome – viết tắt là PLO hoặc LO) bao gồm những chuẩn đầu ra chung dưới đây, được tham chiếu theo Khung trình độ quốc gia Việt Nam, chuẩn đầu ra của ABET 2021-2022, Bộ năng lực Sinh viên tốt nghiệp ĐHQG ban hành theo quyết định 1658/QĐ-ĐHQG năm 2020 (GAC), Tầm nhìn - sứ mạng- Triết lý giáo dục của Trường ĐHCNTT và của Khoa Khoa học máy tính.
Sinh viên tốt nghiệp chương trình đào tạo cử nhân chính quy ngành Trí tuệ nhân tạo đạt những chuẩn đầu ra sau:",""
"Q008","Chương trình Trí Tuệ Nhân Tạo có những phương thức tốt nghiệp nào? Thời lượng/ tín chỉ và điều kiện tham gia mỗi phương thức ra sao?","1","[5]","Chương trình Công nghệ Thông tin Việt – Nhật đào tạo những cử nhân có phẩm chất chính trị tốt, có đạo đức nghề nghiệp, có ý thức trách nhiệm tổ chức, và có sức khỏe tốt; nắm vững các kiến thức cơ bản và chuyên môn sâu về công nghệ thông tin; đáp ứng các yêu cầu về nghiên cứu phát triển và ứng dụng công nghệ thông tin của xã hội; có năng lực tham mưu, tư vấn và có khả năng tổ chức thực hiện nhiệm vụ với tư cách của một chuyên viên trong lĩnh vực CNTT. Bên cạnh đó, trên cơ sở các kiến thức được",""
"Q009","Ngành Kỹ Thuật Máy Tính học những môn toán, lý trong chương trình như thế nào?","1","[1]","Sinh viên tốt nghiệp Chương trình đào tạo Cử nhân chính quy ngành Công nghệ Thông tin Việt – Nhật có khả năng làm việc ở những phạm vi và lĩnh vực khác nhau như:","Thông tin này không có trong ngữ cảnh được cung cấp."
